uf,cnpj,cns,nome_oficial,municipio,cep,homepage,data_instalacao,atribuicoes,area_abrangencia,comarca
CE,02.762.382/0001-16,01.738-4,1º ofício de registro civil das pessoas naturais e anexos,Mauriti,63210000,"",1934-10-15,casamentos;interdições e tutelas;nascimentos;notas;óbitos;protesto de títulos;registro civil de pessoas jurídicas;registro de títulos e documentos,município de mauriti,mauriti
CE,05.455.308/0001-45,01.770-7,"2º tabelionato de notas, protesto e  registros públicos",Mauriti,63210000,"",1937-09-01,notas;protesto de títulos;registro civil de pessoas jurídicas;registro de imóveis;registro de títulos e documentos,município de mauriti,mauriti
CE,02.960.695/0001-89,01.952-1,3º ofício titulos e documentos e pessoas juridicas e tabelionato de notas,Mauriti,63210000,"",1999-01-11,notas;protesto de títulos;registro civil de pessoas jurídicas;registro de imóveis;registro de títulos e documentos;registros públicos,comarca de mauriti,mauriti
CE,02.631.985/0001-89,01.875-4,ofício de registro civil das pessoas naturais - dist. anauá,Mauriti,63210000,"",1934-11-13,casamentos;interdições e tutelas;nascimentos;óbitos,distrito de anauá,mauriti
CE,02.631.983/0001-90,01.895-2,ofício de registro civil das pessoas naturais de mararupá,Mauriti,63216000,"",1935-04-13,casamentos;nascimentos;óbitos;outras,distrito de mararupá,mauriti
CE,03.000.813/0001-70,01.854-9,ofício de registro civil das pessoas naturais - palestina do cariri,Mauriti,63215000,"",1997-11-08,casamentos;nascimentos;óbitos,distrito de palestina do cariri,mauriti
CE,02.835.928/0001-11,01.717-8,ofício de registro civil das pessoas naturais - umburanas,Mauriti,63210000,"",1934-01-01,casamentos;nascimentos;óbitos,distrito de umburanas,mauriti
CE,07.821.524/0001-92,01.919-0,ofício de registro civil das pessoas naturais - coité,Mauriti,63210000,"",1934-11-21,casamentos;interdições e tutelas;nascimentos;óbitos,distrito de coité,mauriti
CE,01.130.352/0001-24,01.671-7,"ofício de registro civil,tabelionato de notas e anexos",Meruoca,62130000,"",1994-05-20,casamentos;interdições e tutelas;nascimentos;notas;óbitos;protesto de títulos;registro civil de pessoas jurídicas;registro de imóveis;registro de títulos e documentos,município de meruoca,meruoca
CE,05.455.365/0001-24,01.554-5,"1º ofício de registro civil, tabelionato de notas e de protestos de títulos",Milagres,63250000,"",1936-07-01,casamentos;distribuidor extrajudicial;nascimentos;notas;óbitos;protesto de títulos;registro civil de pessoas jurídicas;registro de títulos e documentos,município de milagres,milagres
CE,05.455.332/0001-84,01.632-9,"2º tabelionato de notas, protesto e ofício de registro de imóveis",Milagres,63250000,"",1931-07-01,notas;protesto de títulos;registro civil de pessoas jurídicas;registro de imóveis;registro de títulos e documentos,município de milagres,milagres
CE,03.357.908/0001-45,01.825-9,ofício de registro civil das pessoas naturais - rosário,Milagres,63250000,"",1998-12-23,casamentos;nascimentos;notas;óbitos,antigo podimirim;distrito de rosário,milagres
